,source,target,retweetCount,hashtags
195,chiroyelil37424,pedgar05,0,[]
196,chiroyelil37424,barevalodeleon,0,[]
197,chiroyelil37424,pedgar05,0,[]
198,maninvisible19,rafaelcarrerra,0,[]
199,maninvisible19,barevalodeleon,0,[]
200,billyarmando,xelanewsgt,2,[]
201,billyarmando,barevalodeleon,2,[]
202,yamilsa71,barevalodeleon,0,[]
203,elotroikar,radio_tgw,0,[]
204,elotroikar,provialoficial,0,[]
205,elotroikar,civ_guatemala,0,[]
206,elotroikar,felixsinexcusas,0,[]
207,elotroikar,civ_guatemala,0,[]
208,elotroikar,barevalodeleon,0,[]
209,justinmendo,fjimenezmingob,0,[]
210,justinmendo,mingobguate,0,[]
211,justinmendo,_spguatemala,0,[]
212,justinmendo,dtransitopnc,0,[]
213,justinmendo,diariodeca,0,[]
214,justinmendo,agn_noticias,0,[]
215,justinmendo,radio_tgw,0,[]
216,justinmendo,guatemalagob,0,[]
217,justinmendo,barevalodeleon,0,[]
218,pups_pup,guatemalagob,0,[]
219,pups_pup,barevalodeleon,0,[]
220,ourworldindata,_hannahritchie,34,[]
221,anti_chairosgt,benitoc67601310,0,[]
222,anti_chairosgt,elquenews,0,[]
223,anti_chairosgt,guatemalagob,0,[]
224,anti_chairosgt,barevalodeleon,0,[]
225,manuelcevans,guatemalagob,0,[]
226,manuelcevans,barevalodeleon,0,[]
227,manuelcevans,magaguatemala,0,[]
228,manuelcevans,maynorestradagt,0,[]
229,vozdeltuit,ojguatemala,5,[]
230,vozdeltuit,barevalodeleon,5,[]
231,vozdeltuit,canalantigua,5,[]
232,joshxb4,sw_jrh96,0,[]
233,joshxb4,vicgarciadice,0,[]
234,joshxb4,barevalodeleon,0,[]
235,hammer105,ivanduque,0,[]
236,hammer105,barevalodeleon,0,[]
237,giovarodrig78,ivanduque,0,[]
238,giovarodrig78,barevalodeleon,0,[]
239,giovarodrig78,ivanduque,0,[]
240,mauriciogua,barevalodeleon,0,[]
241,sinergiabikes,ivanduque,0,[]
242,sinergiabikes,barevalodeleon,0,[]
243,marielp82893334,gobernaciongt,0,[]
244,marielp82893334,diegoedeleon,0,[]
245,marielp82893334,barevalodeleon,0,[]
246,rmojicav,ivanduque,0,[]
247,rmojicav,barevalodeleon,0,[]
248,chepiomonroy,__vadertg,0,[]
249,chepiomonroy,barevalodeleon,0,[]
250,chepiomonroy,usaidguate,0,[]
251,chepiomonroy,congresoguate,0,[]
252,hptamd,ivanduque,0,[]
253,hptamd,barevalodeleon,0,[]
254,hptamd,pnspedronuno,0,[]
255,hptamd,justintrudeau,0,[]
256,hptamd,michelbarnier,0,[]
257,hptamd,vp,0,[]
258,hptamd,emmanuelmacron,0,[]
259,hptamd,petrogustavo,0,[]
260,hptamd,elisabeth_borne,0,[]
261,hptamd,gabrielattal,0,[]
262,hptamd,borisjohnson,0,[]
263,hptamd,keir_starmer,0,[]
264,hptamd,potus,0,[]
265,hptamd,koninklijkhuis,0,[]
266,hptamd,sanchezcastejon,0,[]
267,hptamd,casareal,0,[]
268,hptamd,govpt,0,[]
269,hptamd,swedishpm,0,[]
270,hptamd,royalfamily,0,[]
271,hptamd,mlp_officiel,0,[]
272,hptamd,vonderleyen,0,[]
273,marodros,barevalodeleon,0,[]
274,max16192,ivanduque,0,[]
275,max16192,barevalodeleon,0,[]
276,skiperk91,ivanduque,0,[]
277,skiperk91,barevalodeleon,0,[]
278,skiperk91,fiscaliacol,0,[]
279,skiperk91,pegasus,0,[]
280,edwardadam63,ivanduque,0,[]
281,edwardadam63,barevalodeleon,0,[]
282,edwardadam63,aire_energia,0,[]
283,emisorasunidas,barevalodeleon,0,['AHORA']
284,artbyfan,festivalesgt,0,[]
285,artbyfan,cerbatanameso,0,[]
286,artbyfan,barevalodeleon,0,[]
287,luchoriverav,ivanduque,0,[]
288,luchoriverav,barevalodeleon,0,[]
289,e9daa1c40e864e2,ivanduque,0,[]
290,e9daa1c40e864e2,barevalodeleon,0,[]
291,elanalistagt2,ronald_mackay,0,[]
292,elanalistagt2,barevalodeleon,0,[]
293,lez_dark,ivanduque,0,[]
294,lez_dark,barevalodeleon,0,[]
295,baquero_castro,ivanduque,0,[]
296,baquero_castro,barevalodeleon,0,[]
297,diegojirado,ivanduque,0,[]
298,diegojirado,barevalodeleon,0,[]
299,luchopo81993102,rafaelcarrerra,0,[]
300,luchopo81993102,barevalodeleon,0,[]
301,javierr07772901,alex_balsells,0,[]
302,javierr07772901,barevalodeleon,0,[]
303,88libre,benitoc67601310,0,[]
304,88libre,chejo111,0,[]
305,88libre,arronchopa,0,[]
306,88libre,barevalodeleon,0,[]
307,edvin111956,benitoc67601310,0,[]
308,edvin111956,arronchopa,0,[]
309,edvin111956,barevalodeleon,0,[]
310,slcharl2,emisorasunidas,1,[]
311,slcharl2,diegoedeleon,1,[]
312,slcharl2,barevalodeleon,1,[]
313,edvin111956,benitoc67601310,0,[]
314,edvin111956,arronchopa,0,[]
315,edvin111956,barevalodeleon,0,[]
316,oscarcordon,guatemalagob,0,[]
317,oscarcordon,barevalodeleon,0,[]
318,oscarcordon,magaguatemala,0,[]
319,oscarcordon,maynorestradagt,0,[]
320,gerardo20292641,rincon001a,0,[]
321,gerardo20292641,barevalodeleon,0,[]
322,gerardo20292641,ivanduque,0,[]
323,rodas164,guatemalagob,0,[]
324,rodas164,barevalodeleon,0,[]
325,rodas164,magaguatemala,0,[]
326,rodas164,maynorestradagt,0,[]
327,elotroikar,radio_tgw,0,[]
328,elotroikar,civ_guatemala,0,[]
329,elotroikar,provialoficial,0,[]
330,elotroikar,civ_guatemala,0,[]
331,elotroikar,felixsinexcusas,0,[]
332,elotroikar,barevalodeleon,0,[]
333,elotroikar,mingobguate,0,[]
334,pazquinsur,ivanduque,0,[]
335,pazquinsur,barevalodeleon,0,[]
336,luisestuardom,barevalodeleon,0,[]
337,charliefb6,oco_motora,0,[]
338,charliefb6,__vadertg,0,[]
339,charliefb6,barevalodeleon,0,[]
340,charliefb6,usaidguate,0,[]
341,charliefb6,congresoguate,0,[]
342,pass_blue,barevalodeleon,0,"['Guatemala', 'SOTF', 'UNGA79']"
343,grillochapin,rafaelcarrerra,0,[]
344,grillochapin,barevalodeleon,0,[]
345,rossihectors,el_vitruvio,0,[]
346,rossihectors,fjimenezmingob,0,[]
347,rossihectors,pncdeguatemala,0,[]
348,rossihectors,guatemalagob,0,[]
349,rossihectors,barevalodeleon,0,[]
350,rossihectors,_spguatemala,0,[]
351,rossihectors,diariodeca,0,[]
352,rossihectors,agn_noticias,0,[]
353,rossihectors,radio_tgw,0,[]
354,slcharl2,soygeorgegt,0,[]
355,slcharl2,barevalodeleon,0,[]
