,source,target,retweetCount,hashtags
13988,galindo_sa99840,barevalodeleon,0,[]
13989,galindo_sa99840,fjimenezmingob,0,[]
13990,elimarios_,dulcefuent26861,0,[]
13991,elimarios_,barevalodeleon,0,[]
13992,uuujjjr,vicentecarrera_,0,[]
13993,uuujjjr,sandra_jovelp,0,[]
13994,uuujjjr,uclcgt,0,[]
13995,uuujjjr,mingobguate,0,[]
13996,uuujjjr,fjimenezmingob,0,[]
13997,uuujjjr,guatemalagob,0,[]
13998,uuujjjr,barevalodeleon,0,[]
13999,nosoynetcenter,elquenews,0,[]
14000,nosoynetcenter,barevalodeleon,0,[]
14001,nosoynetcenter,fjimenezmingob,0,[]
14002,mimimansilla,vicentecarrera_,0,[]
14003,mimimansilla,sandra_jovelp,0,[]
14004,mimimansilla,uclcgt,0,[]
14005,mimimansilla,mingobguate,0,[]
14006,mimimansilla,fjimenezmingob,0,[]
14007,mimimansilla,guatemalagob,0,[]
14008,mimimansilla,barevalodeleon,0,[]
14009,bardielschiffer,barevalodeleon,0,[]
14010,eortizmorales,flinaresb,0,[]
14011,eortizmorales,barevalodeleon,0,[]
14012,eortizmorales,flinaresb,0,[]
14013,usuariounicoop,guatemalagob,0,[]
14014,usuariounicoop,barevalodeleon,0,[]
14015,hecch,guatemalagob,0,[]
14016,hecch,diariodeca,0,[]
14017,hecch,barevalodeleon,0,[]
14018,eguzmanmorales,elquenews,0,[]
14019,eguzmanmorales,barevalodeleon,0,[]
14020,jasonborn1970,guatemalagob,1,[]
14021,jasonborn1970,barevalodeleon,1,[]
14022,jasonborn1970,carlos_hoffman_,1,[]
14023,jasonborn1970,frattigiovanni,1,[]
14024,eguzmanmorales,lineasfrescas,0,[]
14025,eguzmanmorales,elquenews,0,[]
14026,eguzmanmorales,barevalodeleon,0,[]
14027,eguzmanmorales,fjimenezmingob,0,[]
14028,eguzmanmorales,elquenews,0,[]
14029,eguzmanmorales,barevalodeleon,0,[]
14030,eguzmanmorales,fjimenezmingob,0,[]
14031,eguzmanmorales,royalvaradogt,3,[]
14032,eguzmanmorales,barevalodeleon,3,[]
14033,dulcefuent26861,elimarios_,0,[]
14034,dulcefuent26861,barevalodeleon,0,[]
14035,fpgabriel1,c_smaldonado,0,[]
14036,fpgabriel1,el_pais,0,[]
14037,fpgabriel1,barevalodeleon,0,[]
14038,legisladorgt,guatemalagob,0,[]
14039,legisladorgt,barevalodeleon,0,[]
14040,pfacticos,guatemalagob,0,[]
14041,pfacticos,barevalodeleon,0,[]
14042,aldanav52139161,guatemalagob,0,[]
14043,aldanav52139161,barevalodeleon,0,[]
14044,rudycontreras3,barevalodeleon,0,[]
14045,licmanuelemili2,ronyveliz692,0,[]
14046,licmanuelemili2,barevalodeleon,0,[]
14047,licmanuelemili2,vozdeltuit,0,[]
14048,mendezlucy56049,barevalodeleon,0,[]
14049,robotinabc,barevalodeleon,0,[]
14050,edgar59974302,guatemalagob,0,[]
14051,edgar59974302,barevalodeleon,0,[]
14052,pstuarts,barevalodeleon,0,[]
14053,ubaldomacu,barevalodeleon,120,"['SALUD', 'GraciasTotales']"
14054,ubaldomacu,guatemalagob,120,"['SALUD', 'GraciasTotales']"
14055,eltuitdehoy_,pedgar05,0,[]
14056,eltuitdehoy_,barevalodeleon,0,[]
14057,albaluzpatricia,c_smaldonado,0,[]
14058,albaluzpatricia,el_pais,0,[]
14059,albaluzpatricia,barevalodeleon,0,[]
14060,jaksonya,gersongudielcas,0,[]
14061,jaksonya,muniguate,0,[]
14062,jaksonya,segeplan,0,[]
14063,jaksonya,barevalodeleon,0,[]
14064,jaksonya,karinherreravp,0,[]
14065,anticorruptogta,barevalodeleon,0,[]
14066,anticorruptogta,alex_balsells,0,[]
14067,carolhernandezb,guatemalagob,0,[]
14068,carolhernandezb,barevalodeleon,0,[]
14069,manuelp27147297,barevalodeleon,0,[]
14070,manuelp27147297,karinherreravp,0,[]
14071,manuelp27147297,msemillagt,0,[]
14072,manuelp27147297,alex_balsells,0,[]
14073,manuelp27147297,bmichellemend,0,[]
14074,mundo9999,guatemalagob,0,[]
14075,mundo9999,barevalodeleon,0,[]
14076,aleph_____,elquenews,0,[]
14077,aleph_____,barevalodeleon,0,[]
14078,thegusboy05,guatemalagob,0,[]
14079,thegusboy05,barevalodeleon,0,[]
14080,aleph_____,lineasfrescas,0,[]
14081,aleph_____,cobrejacinto,0,[]
14082,aleph_____,elquenews,0,[]
14083,aleph_____,barevalodeleon,0,[]
14084,aleph_____,fjimenezmingob,0,[]
14085,aleph_____,mingobguate,0,[]
14086,nilrilesor,elquenews,0,[]
14087,nilrilesor,barevalodeleon,0,[]
14088,nilrilesor,fjimenezmingob,0,[]
14089,chester0204,fjimenezmingob,0,[]
14090,chester0204,amilcarmontejo,0,[]
14091,chester0204,barevalodeleon,0,[]
14092,chester0204,mpguatemala,0,[]
14093,jav_f21,royalvaradogt,0,[]
14094,jav_f21,barevalodeleon,0,[]
14095,aleph_____,elquenews,0,[]
14096,aleph_____,barevalodeleon,0,[]
14097,dan_vikingo,guatemalagob,0,[]
14098,dan_vikingo,barevalodeleon,0,[]
14099,jprc10,cesa71183,0,[]
14100,jprc10,elimarios_,0,[]
14101,jprc10,barevalodeleon,0,[]
14102,lineasfrescas,aleph_____,0,[]
14103,lineasfrescas,cobrejacinto,0,[]
14104,lineasfrescas,elquenews,0,[]
14105,lineasfrescas,barevalodeleon,0,[]
14106,lineasfrescas,fjimenezmingob,0,[]
14107,lineasfrescas,mingobguate,0,[]
14108,eddie99243836,barevalodeleon,0,[]
14109,nosmienten_,guatemalagob,0,[]
14110,nosmienten_,barevalodeleon,0,[]
14111,luisfergo04,felixsinexcusas,0,[]
14112,luisfergo04,barevalodeleon,0,[]
14113,kalinpal53,gersongudielcas,0,[]
14114,kalinpal53,barevalodeleon,0,[]
14115,yoda_baganas,felixsinexcusas,0,[]
14116,yoda_baganas,barevalodeleon,0,[]
14117,yoda_baganas,msemillagt,0,[]
14118,elbetorivers,elquenews,0,[]
14119,elbetorivers,barevalodeleon,0,[]
14120,vicenteedward,barevalodeleon,0,[]
14121,vvj_gt,aztecanoticiagt,2,[]
14122,vvj_gt,barevalodeleon,2,[]
14123,vvj_gt,felixsinexcusas,2,[]
14124,aolalexthegreat,pedroernestoto2,0,[]
14125,aolalexthegreat,vicentecarrera_,0,[]
14126,aolalexthegreat,mpguatemala,0,[]
14127,aolalexthegreat,diegoespana_,0,[]
14128,aolalexthegreat,lahoragt,0,[]
14129,aolalexthegreat,uclcgt,0,[]
14130,aolalexthegreat,cncguatemala,0,[]
14131,aolalexthegreat,guatemalagob,0,[]
14132,aolalexthegreat,fjimenezmingob,0,[]
14133,aolalexthegreat,mingobguate,0,[]
14134,aolalexthegreat,barevalodeleon,0,[]
14135,marodros,guatemalagob,3,[]
14136,marodros,barevalodeleon,3,[]
14137,cristia13944035,barevalodeleon,0,[]
14138,salazarreload2,msemillagt,0,[]
14139,salazarreload2,barevalodeleon,0,[]
14140,salazarreload2,quiquegodoy,0,[]
14141,cokearchila,barevalodeleon,0,[]
14142,dennis96658004,barevalodeleon,0,[]
14143,roberyairon,barevalodeleon,0,[]
14144,leonard2631234,billsantizo,0,[]
14145,leonard2631234,barevalodeleon,0,[]
14146,leonard2631234,alex_balsells,0,[]
14147,leonard2631234,b,0,[]
14148,humbert41818287,pedgar05,0,[]
14149,humbert41818287,barevalodeleon,0,[]
14150,billsantizo,barevalodeleon,0,[]
14151,billsantizo,alex_balsells,0,[]
14152,billsantizo,b,0,[]
14153,ortizthelm90248,elquenews,0,[]
14154,ortizthelm90248,barevalodeleon,0,[]
14155,conjimnez2,barevalodeleon,0,[]
14156,aleph_____,cobrejacinto,0,[]
14157,aleph_____,lineasfrescas,0,[]
14158,aleph_____,elquenews,0,[]
14159,aleph_____,barevalodeleon,0,[]
14160,aleph_____,fjimenezmingob,0,[]
14161,aleph_____,mingobguate,0,[]
14162,conjimnez2,barevalodeleon,0,[]
14163,luis26945054,vicentecarrera_,0,[]
14164,luis26945054,mpguatemala,0,[]
14165,luis26945054,diegoespana_,0,[]
14166,luis26945054,lahoragt,0,[]
14167,luis26945054,uclcgt,0,[]
14168,luis26945054,cncguatemala,0,[]
14169,luis26945054,guatemalagob,0,[]
14170,luis26945054,fjimenezmingob,0,[]
14171,luis26945054,mingobguate,0,[]
14172,luis26945054,barevalodeleon,0,[]
14173,conjimnez2,barevalodeleon,0,[]
14174,dennisskate1,barevalodeleon,0,[]
14175,santo_de_garche,guate_opina,0,[]
14176,santo_de_garche,barevalodeleon,0,[]
14177,miguel_artiga,barevalodeleon,0,[]
14178,reyes4488,guatemalagob,0,[]
14179,reyes4488,barevalodeleon,0,[]
14180,pedroernestoto2,vicentecarrera_,1,[]
14181,pedroernestoto2,aolalexthegreat,1,[]
14182,pedroernestoto2,mpguatemala,1,[]
14183,pedroernestoto2,diegoespana_,1,[]
14184,pedroernestoto2,lahoragt,1,[]
14185,pedroernestoto2,uclcgt,1,[]
14186,pedroernestoto2,cncguatemala,1,[]
14187,pedroernestoto2,guatemalagob,1,[]
14188,pedroernestoto2,fjimenezmingob,1,[]
14189,pedroernestoto2,mingobguate,1,[]
14190,pedroernestoto2,barevalodeleon,1,[]
14191,lacimahorg,barevalodeleon,0,[]
14192,haggonzalez,barevalodeleon,0,[]
14193,vvj_gt,royalvaradogt,1,[]
14194,vvj_gt,barevalodeleon,1,[]
14195,leoqgt,barevalodeleon,0,[]
14196,kenny_tuche,barevalodeleon,0,[]
14197,vvj_gt,vichoguate,0,[]
14198,vvj_gt,fjimenezmingob,0,[]
14199,vvj_gt,barevalodeleon,0,[]
14200,vvj_gt,arronchopa,0,[]
14201,vvj_gt,fjimenezmingob,0,[]
14202,vvj_gt,barevalodeleon,0,[]
14203,spaceboy88fly,maribelmar51429,0,[]
14204,spaceboy88fly,barevalodeleon,0,[]
14205,coyotechapin,puertoinforma,0,[]
14206,coyotechapin,c_smaldonado,0,[]
14207,coyotechapin,el_pais,0,[]
14208,coyotechapin,barevalodeleon,0,[]
14209,luisgirongt,barevalodeleon,0,[]
14210,luisgirongt,barevalodeleon,0,[]
14211,cristia17892973,barevalodeleon,0,[]
14212,wichomarg,barevalodeleon,3,[]
14213,guatebuena1,guatemalagob,0,[]
14214,guatebuena1,barevalodeleon,0,[]
14215,marcoan14818708,mundo9999,0,[]
14216,marcoan14818708,barevalodeleon,0,[]
14217,vertical_dorsal,jczamora,0,[]
14218,vertical_dorsal,prensacomunitar,0,[]
14219,vertical_dorsal,lahoragt,0,[]
14220,vertical_dorsal,plazapublicagt,0,[]
14221,vertical_dorsal,cmendeza,0,[]
14222,vertical_dorsal,jlfont001,0,[]
14223,vertical_dorsal,mmendoza_gt,0,[]
14224,vertical_dorsal,marielosmonzon,0,[]
14225,vertical_dorsal,barevalodeleon,0,[]
14226,vertical_dorsal,ojguatemala,0,[]
14227,vertical_dorsal,pacogoldman,0,[]
14228,recinosme,barevalodeleon,0,[]
14229,elimarios_,dulcefuent26861,0,[]
14230,elimarios_,barevalodeleon,0,[]
14231,marcoan14818708,guatemalagob,1,[]
14232,marcoan14818708,barevalodeleon,1,[]
14233,mrdogo35,barevalodeleon,0,[]
14234,anibal007,gersongudielcas,0,[]
14235,anibal007,barevalodeleon,0,[]
14236,dupin07,barevalodeleon,0,[]
14237,dupin07,igss_gt,0,[]
14238,mrdogo35,fiscalnvicto,0,[]
14239,mrdogo35,barevalodeleon,0,[]
14240,lvillatorod,barevalodeleon,0,[]
14241,lacolo081972,barevalodeleon,0,[]
14242,coronavirusgt,viaguilar32,0,[]
14243,coronavirusgt,barevalodeleon,0,[]
14244,coronavirusgt,netobran,0,[]
14245,rudonrudy,barevalodeleon,0,[]
14246,rudonrudy,barevalodeleon,0,[]
14247,rudonrudy,barevalodeleon,0,[]
14248,rudonrudy,barevalodeleon,0,[]
14249,dupin07,igss_gt,0,['maspatrasquepalante']
14250,dupin07,barevalodeleon,0,['maspatrasquepalante']
14251,dupin07,quiquegodoy,0,['maspatrasquepalante']
14252,dupin07,alex_balsells,0,['maspatrasquepalante']
14253,viaguilar32,barevalodeleon,0,[]
14254,viaguilar32,netobran,0,[]
14255,carlosc0852561,adolfoalbertoc2,0,[]
14256,carlosc0852561,barevalodeleon,0,[]
14257,lorocomoco,impactonoticigt,0,[]
14258,lorocomoco,pncdeguatemala,0,[]
14259,lorocomoco,dtransitopnc,0,[]
14260,lorocomoco,mingobguate,0,[]
14261,lorocomoco,fjimenezmingob,0,[]
14262,lorocomoco,netobran,0,[]
14263,lorocomoco,barevalodeleon,0,[]
14264,pedgar05,barevalodeleon,13,[]
14265,imagengt2,barevalodeleon,0,[]
14266,alvar4jose,barevalodeleon,0,[]
14267,norv_cast46,guatemalagob,0,[]
14268,norv_cast46,barevalodeleon,0,[]
14269,w54255141,elquenews,0,[]
14270,w54255141,barevalodeleon,0,[]
14271,kroldegarcia,velvetfabiola,0,[]
14272,kroldegarcia,barevalodeleon,0,[]
14273,kroldegarcia,guatemalagob,0,[]
14274,pepecuevas73,clousgario,0,[]
14275,pepecuevas73,barevalodeleon,0,[]
14276,kroldegarcia,barevalodeleon,1,[]
14277,alilapeque25,gabs_orlando,0,[]
14278,alilapeque25,barevalodeleon,0,[]
14279,arammorales,wjmartinv,0,[]
14280,arammorales,barevalodeleon,0,[]
14281,aralgo49,barevalodeleon,0,[]
14282,kroldegarcia,guatemalagob,0,[]
14283,kroldegarcia,barevalodeleon,0,[]
14284,minfingt,jmenkos,3,"['Presupuesto2025', 'UnPresupuestoParaLaPoblación', 'MinfinSaleAdelante', 'GuatemalaSaleAdelante']"
14285,minfingt,barevalodeleon,3,"['Presupuesto2025', 'UnPresupuestoParaLaPoblación', 'MinfinSaleAdelante', 'GuatemalaSaleAdelante']"
14286,minfingt,guatemalagob,3,"['Presupuesto2025', 'UnPresupuestoParaLaPoblación', 'MinfinSaleAdelante', 'GuatemalaSaleAdelante']"
14287,luta4621,barevalodeleon,0,[]
14288,dulcefuent26861,elimarios_,0,[]
14289,dulcefuent26861,barevalodeleon,0,[]
14290,alemarro1991,barevalodeleon,0,[]
14291,dulcefuent26861,barevalodeleon,0,[]
14292,luta4621,felixsinexcusas,0,[]
14293,luta4621,barevalodeleon,0,[]
14294,aldanav52139161,karinherreravp,0,[]
14295,aldanav52139161,viceguatemala,0,[]
14296,aldanav52139161,guatemalagob,0,[]
14297,aldanav52139161,barevalodeleon,0,[]
14298,juanpms_,barevalodeleon,0,[]
14299,daviidvx,guate_opina,0,[]
14300,daviidvx,barevalodeleon,0,[]
14301,jorge28f,cesa71183,0,[]
14302,jorge28f,elimarios_,0,[]
14303,jorge28f,barevalodeleon,0,[]
14304,matias79715506,barevalodeleon,0,[]
14305,rosariosoto2020,barevalodeleon,0,[]
14306,anali480,guate_opina,0,[]
14307,anali480,vctorroldan8,0,[]
14308,anali480,barevalodeleon,0,[]
14309,cestam08,barevalodeleon,1,[]
14310,tcorzo36309,guatemalagob,0,[]
14311,tcorzo36309,barevalodeleon,0,[]
14312,antonio24772573,marvgcaceres,0,[]
14313,antonio24772573,diaco_gt,0,[]
14314,antonio24772573,guatemalagob,0,[]
14315,antonio24772573,viniciogutierr3,0,[]
14316,antonio24772573,barevalodeleon,0,[]
14317,antonio24772573,soy_502,0,[]
14318,antonio24772573,emisorasunidas,0,[]
14319,antonio24772573,jlfont001,0,[]
14320,antonio24772573,satgt,0,[]
14321,antonio24772573,samuel_pz,0,[]
14322,antonio24772573,lahoragt,0,[]
14323,antonio24772573,publinewsgt,0,[]
14324,antonio24772573,lared1061,0,[]
14325,eximioguatemala,guatemalagob,0,[]
14326,eximioguatemala,barevalodeleon,0,[]
14327,cristianchj,barevalodeleon,0,[]
14328,cristianchj,felixsinexcusas,0,[]
14329,cristianchj,guatemalagob,0,[]
14330,vicentecarrera_,juliolohengrin,0,[]
14331,vicentecarrera_,sandra_jovelp,0,[]
14332,vicentecarrera_,uclcgt,0,[]
14333,vicentecarrera_,mingobguate,0,[]
14334,vicentecarrera_,fjimenezmingob,0,[]
14335,vicentecarrera_,guatemalagob,0,[]
14336,vicentecarrera_,barevalodeleon,0,[]
14337,estuardoespana,suchiniluis,0,[]
14338,estuardoespana,barevalodeleon,0,[]
14339,taracenamario,barevalodeleon,0,[]
14340,vanessaherrer02,jazmindela_vega,0,[]
14341,vanessaherrer02,elecxiones2023,0,[]
14342,vanessaherrer02,alex56gt,0,[]
14343,vanessaherrer02,fmacario_,0,[]
14344,vanessaherrer02,felixsinexcusas,0,[]
14345,vanessaherrer02,barevalodeleon,0,[]
14346,vanessaherrer02,nery_ramosr,0,[]
14347,vanessaherrer02,hamlet_a16,0,[]
14348,velvetfabiola,barevalodeleon,2,[]
14349,velvetfabiola,guatemalagob,2,[]
14350,velvetfabiola,msemillagt,2,[]
14351,eximioguatemala,barevalodeleon,0,[]
14352,chapindecorazon,lamichiedl,0,[]
14353,chapindecorazon,barevalodeleon,0,[]
14354,chapindecorazon,drgiammattei,0,[]
14355,chapindecorazon,ustreasury,0,[]
14356,chapindecorazon,irs_ci,0,[]
14357,chapindecorazon,southcom,0,[]
14358,chapindecorazon,fbi,0,[]
14359,chapindecorazon,dhsgov,0,[]
14360,juliolohengrin,vicentecarrera_,0,[]
14361,juliolohengrin,sandra_jovelp,0,[]
14362,juliolohengrin,uclcgt,0,[]
14363,juliolohengrin,mingobguate,0,[]
14364,juliolohengrin,fjimenezmingob,0,[]
14365,juliolohengrin,guatemalagob,0,[]
14366,juliolohengrin,barevalodeleon,0,[]
14367,velvetfabiola,barevalodeleon,0,[]
14368,velvetfabiola,guatemalagob,0,[]
14369,berniemendez,barevalodeleon,0,[]
14370,juliolohengrin,vicentecarrera_,0,[]
14371,juliolohengrin,sandra_jovelp,0,[]
14372,juliolohengrin,uclcgt,0,[]
14373,juliolohengrin,mingobguate,0,[]
14374,juliolohengrin,fjimenezmingob,0,[]
14375,juliolohengrin,guatemalagob,0,[]
14376,juliolohengrin,barevalodeleon,0,[]
14377,daniloherreral1,barevalodeleon,1,[]
14378,mundo9999,marcoan14818708,0,[]
14379,mundo9999,barevalodeleon,0,[]
14380,udarthjokerr,barevalodeleon,0,[]
14381,mariobone,barevalodeleon,0,[]
14382,larrieului49574,barevalodeleon,0,[]
14383,jaquelinjudith,elquenews,0,[]
14384,jaquelinjudith,barevalodeleon,0,[]
14385,jaquelinjudith,fjimenezmingob,0,[]
14386,carolyfofo,barevalodeleon,0,[]
14387,rafaesting,barevalodeleon,0,[]
14388,jazmindela_vega,vanessaherrer02,2,[]
14389,jazmindela_vega,elecxiones2023,2,[]
14390,jazmindela_vega,alex56gt,2,[]
14391,jazmindela_vega,fmacario_,2,[]
14392,jazmindela_vega,felixsinexcusas,2,[]
14393,jazmindela_vega,barevalodeleon,2,[]
14394,jazmindela_vega,nery_ramosr,2,[]
